country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp
BGD,Bangladesh,2022,1804.3493461776,7.09982877575158,-7.69695437176898,-4.593,74.265,-24.4,67.0384586440383,99.4,41.61650085,33.7799672705735
BRA,Brazil,2022,9032.08377657776,3.01669435408112,-9.28010608956872,-9.231,74.872,-12.6,105.702369689941,100.0,80.52775094,38.8160659764321
CHN,China,2022,11830.5983703496,3.1341888719577,-1.9735755573905,-4.98,78.202,-4.8,92.2603063015232,100.0,75.61131603,37.440719876366
EGY,"Egypt, Arab Rep.",2022,4029.78295457978,6.58784560886967,-13.8956609775177,-6.546,71.01,-21.8,83.17910545272494,100.0,72.19806556,36.9831048772713
IND,India,2022,2098.2112447615,7.60936497768895,-6.69903414079852,-4.822,71.698,-25.7,81.1778608399708,99.2,55.9,50.0752701498882
IDN,Indonesia,2022,4024.91225288391,5.30719722664799,-4.20946463714784,-3.462,70.925,-16.3,97.8167602714893,100.0,66.48461277,45.4646701959453
MYS,Malaysia,2022,11191.6511756943,9.03173723044451,-3.37869862549928,-3.93,75.444,-6.9,78.8341986282999,100.0,97.3986404,146.424604753908
MEX,Mexico,2022,10013.2479236143,3.70975709163623,-7.8962761916855,-3.256,73.973,-12.8,98.3576583862305,100.0,78.63217894,88.7984855867186
PHL,Philippines,2022,3577.70136573244,7.58098212785563,-5.82115811213955,-2.598,69.472,-22.4,92.291271176651,94.8,75.21114422,72.4296836107599
ZAF,South Africa,2022,5786.86505344736,2.05813661692193,-7.03987272546482,-33.268,65.454,-24.3,104.535066506498,86.5,78.29319763,64.94713440234
THA,Thailand,2022,6278.7855138276,2.58037874709827,1.61068030486688,-0.94,75.291,-8.2,88.0661686868399,99.9,87.97724503,132.858712082871
TUR,Turkiye,2022,14273.5747654873,5.44122511322401,-72.3088359891207,-10.465,77.591,-8.5,116.040176391602,100.0,83.43716576,79.8982722314341
VNM,Viet Nam,2022,3617.66311465012,8.53750046755788,-3.15650749963129,-1.57,74.502,-12.9,93.4123434096522,100.0,78.58999918,183.153619147836
