principal_component,eigenvalue,explained_variance_ratio,cumulative_variance
PC1,4.051868349212299,0.4051868349212298,0.4051868349212298
PC2,2.0178307772539625,0.20178307772539622,0.606969912646626
PC3,1.1399469555890471,0.1139946955589047,0.7209646082055308
PC4,0.760426914341244,0.07604269143412438,0.7970072996396551
PC5,0.6547688110198469,0.06547688110198467,0.8624841807416398
PC6,0.5156456728153547,0.05156456728153546,0.9140487480231753
PC7,0.4090550542660439,0.04090550542660438,0.9549542534497797
PC8,0.24061327571380245,0.024061327571380242,0.9790155810211599
PC9,0.13923189608044018,0.013923189608044015,0.992938770629204
PC10,0.07061229370796071,0.00706122937079607,1.0
