,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
gdp_per_capita_constant_2015_usd,0.3940069497063254,-0.23692619907372298,0.1558940153113041,0.12153506197592352,0.15148112994985388,-0.5069575723316732,0.06657671143789957,-0.2867364630363218,-0.573784110886562,0.23177533940125508
gdp_growth_annual_pct,-0.09154709363437694,0.37718874515979445,0.5118923172046347,-0.10359563014207204,0.7465195771245987,0.06362379614229667,-0.09444340106691969,0.07733679947193393,-0.0028302306433465167,0.018274789881857996
adjusted_inflation_annual_pct,-0.006423303995916675,0.21949506225614787,-0.7469402616419225,0.4042979656946736,0.4595764122918276,-0.07681027829508401,0.002940193189916313,0.011839827605421977,0.017066937236689516,0.113373961284028
adjusted_unemployment_total_pct_ilo_estimate,0.1190058022325428,0.6113520367185308,0.04122360152352304,0.1425694876359936,-0.34203598701412363,0.05555380156562146,0.13408435820319767,0.4725102357819864,-0.47735898347833505,0.029493790628420995
life_expectancy_years,0.3940049802485799,0.2852560921786169,0.19656160943829937,0.21415924886188747,-0.16340183289091922,-0.2582452023086774,0.13439450529342975,-0.05506020535012858,0.639157394650845,0.39481889433708306
adjusted_infant_mortality_per_1000_live_births,0.4721491026564522,0.11754702486408367,-0.012183894532537008,0.06542562798487625,0.05702132009592078,-0.13619358572435433,0.010268506382913007,-0.06735175957733121,0.11384138907666633,-0.8481905884745314
secondary_school_enrollment_gross_pct,0.31536402001038877,-0.3786655663896575,0.003103636400794655,-0.023270028147632443,0.23583113607707631,0.338367939584898,0.6516328016628367,0.3955731449204637,0.035932640241494715,0.06405492832331772
access_to_electricity_pct_population,0.38918330782097965,0.059414700293728674,0.03809177085453254,0.20545305603433914,-0.03660403614012253,0.7253542595635472,-0.26665867049043157,-0.4112652600142538,-0.12530998416421799,0.1338547532199004
individuals_using_internet_pct_population,0.38749111685456955,-0.2043816875587269,-0.1197739436199809,-0.2425378980503782,0.06429515764171877,-0.06393074947467492,-0.6461098645887711,0.5347806018742718,0.05520522411238167,0.14209664505073166
trade_pct_gdp,0.2072241201844273,0.3094952316168577,-0.31536145145806116,-0.7993700577026227,0.02283102389630224,0.0013806728966991235,0.1931405925544026,-0.2630963907528121,-0.03282535446102365,0.12125125268743939
