,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp
gdp_per_capita_constant_2015_usd,1.0000000000000002,-0.3379325116771255,-0.5041901833543855,-0.08880859186784466,0.6021549150904942,0.7977912274820134,0.5403013707322055,0.1900100856946995,0.6598824049549892,0.11966636329922303
gdp_growth_annual_pct,-0.3379325116771255,0.9999999999999997,-0.012180690565288385,0.46113827683510417,0.03596906806664966,-0.22050631837816045,-0.5198515982934521,0.30102635624861407,-0.18720601872942955,0.31681035121773077
adjusted_inflation_annual_pct,-0.5041901833543855,-0.012180690565288385,1.0,0.17919188371831543,-0.28824555485754005,-0.16218100805056462,-0.5407588712479084,-0.09753298355227469,-0.11216093424347222,0.09876688210118799
adjusted_unemployment_total_pct_ilo_estimate,-0.08880859186784466,0.46113827683510417,0.17919188371831543,1.0,0.5640374052999622,0.3175493543728558,-0.41638947018202505,0.8496558559943148,-0.0696644130624176,0.24207723246291513
life_expectancy_years,0.6021549150904942,0.03596906806664966,-0.28824555485754005,0.5640374052999622,1.0000000000000002,0.7866432621489815,-0.007207969611082436,0.7798085385670542,0.21574005076829916,0.21586860316190318
adjusted_infant_mortality_per_1000_live_births,0.7977912274820134,-0.22050631837816045,-0.16218100805056462,0.3175493543728558,0.7866432621489815,0.9999999999999999,0.31322830710897553,0.4861708120142258,0.6981941680624951,0.43729770370317717
secondary_school_enrollment_gross_pct,0.5403013707322055,-0.5198515982934521,-0.5407588712479084,-0.41638947018202505,-0.007207969611082436,0.31322830710897553,1.0,-0.23788978497879645,0.4671957137469989,0.0016886216259272893
access_to_electricity_pct_population,0.1900100856946995,0.30102635624861407,-0.09753298355227469,0.8496558559943148,0.7798085385670542,0.4861708120142258,-0.23788978497879645,1.0,-0.025188201697333604,0.10955886220653331
individuals_using_internet_pct_population,0.6598824049549892,-0.18720601872942955,-0.11216093424347222,-0.0696644130624176,0.21574005076829916,0.6981941680624951,0.4671957137469989,-0.025188201697333604,1.0000000000000002,0.5914604575498073
trade_pct_gdp,0.11966636329922303,0.31681035121773077,0.09876688210118799,0.24207723246291513,0.21586860316190318,0.43729770370317717,0.0016886216259272893,0.10955886220653331,0.5914604575498073,1.0
