principal_component,eigenvalue,explained_variance_ratio,cumulative_variance
PC1,3.7095054443294844,0.37095054443294856,0.37095054443294856
PC2,2.8790558899591145,0.28790558899591157,0.6588561334288601
PC3,1.4544334852519678,0.14544334852519683,0.8042994819540569
PC4,1.0069962450911387,0.1006996245091139,0.9049991064631708
PC5,0.4219552957777664,0.042195529577776655,0.9471946360409474
PC6,0.27225485441940045,0.027225485441940055,0.9744201214828875
PC7,0.11659399095546433,0.011659399095546436,0.986079520578434
PC8,0.07671095674726859,0.007671095674726862,0.9937506162531609
PC9,0.037308273641763985,0.0037308273641764,0.9974814436173373
PC10,0.025185563826627143,0.0025185563826627152,1.0
