,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
gdp_per_capita_constant_2015_usd,0.43917891656144914,-0.2284124472148207,-0.11750102215122599,-0.012552407393067427,-0.4168617570652084,-0.26343773025129175,-0.1675559150431956,0.16902428517112367,-0.6597322228078886,0.07695205253433503
gdp_growth_annual_pct,-0.06486381481091696,0.4011435838000611,0.15127058338970467,0.6385396747983926,-0.20679896128707437,-0.3498359812397625,-0.4538214789235718,-0.12620411920953006,0.13014593846070494,-0.01704115954006646
adjusted_inflation_annual_pct,-0.20295384902800148,0.1989394348068432,0.4233383477438459,-0.6595728139892219,0.004312743889643413,-0.16914451180965734,-0.44421206877442265,-0.16778873582385667,-0.1516575489340978,-0.16695892644959312
adjusted_unemployment_total_pct_ilo_estimate,0.1766940254298365,0.5093986873608302,-0.04568740012059179,-0.07439382691976286,0.432007957891263,-0.22894058403574613,0.07562455675205787,0.6715026325829814,-0.07705780620226313,0.0072792398218589896
life_expectancy_years,0.4269335898775523,0.22456418484502064,-0.2456040496524121,-0.0954144977908609,-0.23807634725526738,0.3906426459738536,-0.19047975163296194,0.030964664516071664,0.22910615977860466,-0.6315539236436543
adjusted_infant_mortality_per_1000_live_births,0.4951163201350301,0.0031004114061002302,0.092105530788652,-0.22252316787348836,-0.08765146452879548,0.0396962547070906,-0.22386016075449905,-0.007115370003437436,0.4848985485853314,0.6342720659050554
secondary_school_enrollment_gross_pct,0.20639165304074808,-0.4515729190006164,-0.0898509891312987,0.15341320747728432,0.6711194446637708,-0.04646006268787039,-0.4857812816083951,-0.09408529269928556,-0.017547025679974414,-0.15547453649920104
access_to_electricity_pct_population,0.2856251779678758,0.4218119679152788,-0.27038384939041343,-0.05953271963460615,0.25775904166192964,-0.10448338912553555,0.23443566065399218,-0.6776703882208573,-0.24912693081539442,0.1011107651992414
individuals_using_internet_pct_population,0.35872968453948473,-0.20569471162775235,0.4605285059235839,0.014068120693132749,-0.0024591659029374628,-0.48789536455448257,0.4269073304574452,-0.08548936444588623,0.2524791721441411,-0.3540710598193332
trade_pct_gdp,0.22410894088488995,0.11513131727840109,0.6480247805132949,0.2562042676362763,0.12490309543074249,0.5673596913273011,0.05777833739392287,-0.005234322853727871,-0.32425825855755447,0.07025855279703033
